edge_u,edge_v,edge_k,road_type,matched_segment_id,match_dist_m
26792815,26792817,0,motorway,857,561.5
26792817,261103510,0,motorway_link,856,408.9
26792817,266809805,0,motorway,856,352.4
26792886,26704133,0,motorway,927,335.3
26792886,7506296587,0,motorway_link,927,117.6
26792891,739968170,0,motorway,927,377.5
26792901,709393336,0,motorway_link,933,113.8
26792901,709393645,0,motorway,933,174.9
26792906,26792901,0,motorway,1258,232.0
26793382,256180949,0,motorway,674,603.3
26793983,713056951,0,motorway_link,1192,285.4
26793983,27729645,0,motorway,700,423.6
26794001,713243149,0,motorway_link,913,152.3
26794001,258017050,0,motorway,913,185.3
26794407,10845487566,0,motorway,596,261.7
26794407,10845487566,1,emergency_bay,596,261.7
26794425,250278971,0,motorway_link,891,364.4
26794425,257971135,0,motorway,891,475.0
26794449,26794464,0,motorway,319,194.5
26794449,26794540,0,motorway_link,298,239.6
26794464,26794474,0,motorway,894,16.6
26794474,26794623,0,motorway_link,894,315.3
26794474,257113700,0,motorway,894,408.9
26794487,2650379781,0,motorway_link,894,192.6
26794487,26794507,0,motorway,319,162.6
26794507,11544798445,0,motorway,598,106.6
26794514,10845487575,0,motorway,892,29.4
26794523,10845487567,0,motorway,596,77.2
26794540,257150441,0,unclassified,598,44.6
26794540,26794464,0,motorway_link,319,224.5
26794540,13176913353,0,primary,319,205.0
26794541,9922616964,0,tertiary,319,153.7
26794541,13176913353,0,primary,319,159.6
26794541,12166889167,0,primary,319,98.0
26794541,262167608,0,secondary,298,178.9
26794543,306080193,0,primary,318,165.9
26794543,262220025,0,secondary,297,153.1
26794543,262167332,0,secondary,318,114.4
26794543,262220076,0,primary,318,67.0
26794544,262167331,0,secondary,318,204.6
26794544,257372943,0,primary,317,252.6
26794544,262220076,0,primary,297,101.4
26794544,262220309,0,tertiary,297,203.5
26794545,262224338,0,secondary,296,273.3
26794545,26794571,0,primary,296,95.7
26794545,12244867881,0,primary,316,254.1
26794545,262077582,0,secondary,316,252.0
26794546,261210058,0,tertiary,316,123.5
26794546,262227826,0,primary,316,146.9
26794546,262227414,0,primary,316,53.1
26794546,261210057,0,tertiary,295,146.3
26794549,2447758369,0,primary,295,281.0
26794549,250278876,0,secondary,295,298.2
26794549,1439714778,0,primary,295,316.7
26794550,26808648,0,primary,315,122.0
26794550,7614087418,0,residential,315,139.1
26794550,26794625,0,residential,315,166.0
26794555,26794556,0,primary,315,11.8
26794555,7614087417,0,residential,315,16.4
26794555,26794624,0,residential,315,90.9
26794556,7614087413,0,residential,315,29.4
26794556,306045086,0,primary,315,113.5
26794558,7614087407,0,secondary,294,400.4
26794558,7614087408,0,tertiary,314,400.3
26794558,306045111,0,tertiary,314,402.8
26794558,306046267,0,secondary,314,377.0
26794558,12244807466,0,primary,314,300.0
26794571,257372943,0,primary,317,157.2
26794571,26794545,0,primary,296,95.7
26794572,306045440,0,tertiary,314,846.8
26794572,257168668,0,secondary,364,846.1
26794572,26794604,0,secondary,129,858.6
26794572,305908470,0,secondary,363,827.7
26794577,261115211,0,residential,315,402.0
26794577,26794582,0,residential,315,391.5
26794577,306045798,0,residential,315,341.3
26794582,26794624,0,residential,315,290.4
26794582,26794577,0,residential,315,391.5
26794582,26794583,0,residential,315,398.6
26794582,26794592,0,residential,315,493.2
26794583,26794582,0,residential,315,398.6
26794583,26794584,0,residential,315,441.8
26794583,26794590,0,residential,315,512.2
26794584,26794583,0,residential,315,441.8
26794584,26794585,0,residential,315,514.1
26794584,26794626,0,residential,315,396.1
26794585,2447758374,0,residential,316,483.2
26794585,26794584,0,residential,315,514.1
26794585,26794629,0,secondary,316,408.9
26794589,2869210430,0,residential,129,613.0
26794589,26794584,0,residential,315,561.4
26794590,26794589,0,residential,315,628.0
26794590,26794594,0,residential,129,576.3
26794592,26794590,0,residential,315,599.2
26794592,26794593,0,residential,129,647.9
26794593,26794594,0,secondary,129,528.8
26794593,257172684,0,residential,129,506.0
26794593,26794631,0,secondary,129,588.4
26794594,257168666,0,residential,129,410.1
26794594,26794595,0,secondary,129,456.6
26794594,26794593,0,secondary,129,528.8
26794595,26794602,0,secondary,129,413.1
26794595,26794594,0,secondary,129,456.6
26794595,26794589,0,residential,129,526.7
26794602,2447758377,0,secondary,129,404.9
26794602,26794595,0,secondary,129,413.1
26794602,2869210430,0,secondary,129,506.5
26794603,261115213,0,residential,315,713.1
26794603,26794604,0,secondary,129,753.4
26794603,26794631,0,secondary,129,652.5
26794604,262166875,0,residential,129,760.4
26794604,26794603,0,secondary,129,753.4
26794604,26794572,0,secondary,129,858.6
26794605,262163160,0,secondary,129,529.4
26794605,257168664,0,secondary,129,389.3
26794605,28357781,0,secondary,129,445.0
26794605,257168965,0,secondary,129,504.0
26794608,26794613,0,secondary,129,598.8
26794608,257168965,0,secondary,129,559.2
26794613,26794608,0,secondary,129,598.8
26794613,257168829,0,residential,129,595.3
26794613,257168818,0,secondary,129,643.1
26794614,257169183,0,residential,317,867.4
26794614,257168646,0,secondary,317,797.0
26794614,7324507927,0,secondary,317,804.7
26794623,257113700,0,motorway_link,600,320.4
26794623,257095285,0,secondary,894,409.6
26794624,26794625,0,residential,315,203.2
26794624,26794555,0,residential,315,90.9
26794624,26794582,0,residential,315,290.4
26794625,26794626,0,residential,315,278.8
26794625,26794624,0,residential,315,203.2
26794625,26794583,0,residential,315,322.3
26794626,26794629,0,residential,315,382.9
26794626,26794625,0,residential,315,278.8
26794626,26794627,0,residential,315,284.1
26794627,26794550,0,primary,315,204.2
26794629,2447758372,0,residential,316,339.3
26794629,26794549,0,secondary,316,299.9
26794629,26794626,0,residential,315,382.9
26794631,26794577,0,residential,315,594.9
26794631,26794593,0,secondary,129,588.4
26794631,26794603,0,secondary,129,652.5
26808041,262163160,0,secondary,129,630.7
26808041,262163245,0,secondary,316,546.0
26808042,262163245,0,secondary,316,451.2
26808042,6235086156,0,secondary,316,390.2
26808042,9971880129,0,residential,316,394.4
26808044,261126876,0,residential,296,386.8
26808044,307937056,0,residential,296,371.0
26808044,262224338,0,secondary,296,313.5
26808044,250278970,0,secondary,296,395.3
26808049,261236606,0,residential,1228,491.0
26808049,262418295,0,secondary,1228,463.6
26808049,26808050,0,secondary,1228,439.3
26808050,261141230,0,residential,1228,331.2
26808050,262418415,0,secondary,1228,437.9
26808050,26808049,0,secondary,1228,439.3
26808051,262418415,0,secondary,1228,450.1
26808051,32873350,0,secondary,1228,486.7
26808051,261141231,0,residential,1228,391.6
26808054,4173985505,0,residential,1229,39.3
26808054,4069382212,0,secondary,1229,126.2
26808054,259575906,0,secondary,1229,99.4
26808054,259575907,0,residential,1229,169.9
26808055,308440308,0,residential,1265,276.3
26808055,262172156,0,secondary,1265,251.4
26808055,259575906,0,secondary,1229,186.0
26808055,4173985505,0,secondary,1265,105.2
26808055,259575802,0,secondary,1265,254.4
26808056,262171396,0,secondary,1265,448.9
26808056,262171558,0,secondary,1266,345.0
26808056,262172156,0,secondary,1265,358.2
26808056,250278978,0,secondary,1265,406.1
26808637,307940002,0,residential,294,320.5
26808637,261286626,0,residential,294,340.5
26808641,261115175,0,residential,294,217.3
26808641,26808637,0,residential,294,239.0
26808646,26808641,0,residential,294,139.8
26808646,261115176,0,residential,294,142.9
26808648,7614087421,0,residential,315,105.8
26808648,26794555,0,primary,315,57.4
26808650,261181592,0,tertiary,127,490.6
26808650,4387385680,0,tertiary,127,593.9
26808650,307937570,0,tertiary,127,524.8
26808650,261210054,0,tertiary,126,525.9
26808653,263900583,0,tertiary,161,863.4
26808653,307940616,0,tertiary,362,841.9
26808653,4387385659,0,tertiary,162,796.7
26808653,307940374,0,tertiary,294,844.6
26817935,258964877,0,secondary,890,588.6
26817935,261142619,0,tertiary,890,682.4
26817935,262076886,0,secondary,890,647.7
26817972,286847195,0,tertiary,1264,861.0
26817972,263362175,0,secondary,123,796.1
26817972,263362283,0,secondary,1264,839.4
26817972,308676074,0,tertiary,123,835.5
26817974,262370103,0,secondary,1264,337.5
26817974,262369332,0,secondary,1228,405.5
26817974,917877739,0,secondary,1263,303.8
26817974,262369350,0,secondary,1228,252.6
26817974,261141224,0,secondary,1227,315.2
26817974,262370102,0,secondary,1263,405.3
26817975,261141227,0,residential,1228,385.2
26817975,295526986,0,secondary,1227,493.5
26817975,262369332,0,secondary,1227,426.2
26817976,26099536,0,secondary,890,805.8
26817976,262370259,0,secondary,1227,774.0
26817976,262418616,0,secondary,1228,725.3
26817976,262076902,0,secondary,1227,746.0
26817980,2662779629,0,secondary,160,405.4
26817980,308441090,0,secondary,160,304.4
26817980,308431246,0,secondary,161,414.8
26817984,309802227,0,tertiary,124,841.0
26817984,14066881278,0,secondary,1264,750.6
26817984,261212848,0,secondary,125,752.0
26817984,308441033,0,secondary,124,838.0
26817984,308440447,0,secondary,1265,795.6
26817984,308440483,0,tertiary,1265,861.6
27197953,12856622083,0,motorway,,
27440209,27440253,0,secondary,1033,175.3
27440209,257381516,0,secondary,1300,216.7
27440209,11061920316,0,busway,1033,221.2
27440211,619040175,0,secondary,1024,70.6
27440211,27440212,0,secondary,1024,152.2
27440212,27440213,0,secondary,1024,228.1
27440212,262184214,0,secondary,1024,159.0
27440213,27440214,0,secondary,1301,219.0
27440213,27440225,0,secondary,1301,269.2
27440214,27440226,0,tertiary,1301,192.2
27440214,27440215,0,secondary,1301,157.6
27440215,27440217,0,secondary,1301,75.5
27440215,262184217,0,secondary,1301,140.8
27440217,261154311,0,secondary,1301,27.6
27440217,2390751536,0,secondary,1301,74.0
27440218,33718417,0,secondary,907,247.1
27440218,27446488,0,secondary,907,133.5
27440219,27440218,0,secondary,907,204.0
27440219,27440233,0,secondary,660,240.8
27440220,27440229,0,secondary,660,200.9
27440220,27440219,0,secondary,921,212.0
27440221,27440235,0,secondary,660,242.8
27440221,27446708,0,secondary,1301,251.3
27440221,27440220,0,secondary,660,280.5
27440222,27440236,0,tertiary,1301,168.8
27440222,27440221,0,secondary,1301,196.9
27440223,27440222,0,secondary,1301,130.8
27440223,28290013,0,secondary,1301,128.7
27440224,27440212,0,secondary,1024,242.5
27440224,27440225,0,secondary,1305,260.9
27440224,27440228,0,secondary,1024,289.2
27440225,27440224,0,secondary,1305,260.9
27440225,388608188,0,secondary,1305,185.7
27440226,27440214,0,tertiary,1301,192.2
27440226,27440256,0,secondary,1301,241.2
27440228,27440254,0,secondary,1024,283.2
27440228,27440211,0,secondary,1024,212.1
27440229,27440235,0,secondary,660,148.3
27440229,709412743,0,secondary,660,58.5
27440233,27440229,0,secondary,660,143.8
27440233,27440248,0,secondary,660,144.0
27440234,27440242,0,secondary,660,194.7
27440234,27440233,0,secondary,660,189.5
27440234,27440218,0,secondary,660,248.2
27440235,4336249469,0,secondary,660,169.5
27440235,27440221,0,secondary,660,242.8
27440235,27440236,0,secondary,660,224.2
27440236,27440222,0,tertiary,1301,168.8
27440236,258878532,0,tertiary,660,236.8
27440236,27440237,0,secondary,1301,194.4
27440237,740237183,0,secondary,1301,169.2
27440237,27440223,0,secondary,1301,131.3
27440240,27446708,0,secondary,1294,201.8
27440240,27440220,0,secondary,921,184.0
27440242,27440247,0,secondary,660,181.2
27440242,2787305648,0,secondary,660,218.8
27440242,27440234,0,secondary,660,194.7
27440247,27440248,0,secondary,660,137.9
27440247,27440234,0,secondary,660,157.3
27440248,272208410,0,secondary,660,138.4
27440248,709412743,0,secondary,660,63.0
27440248,272208894,0,secondary,656,142.1
27440253,27440211,0,secondary,1024,141.9
27440253,27440254,0,secondary,1024,213.1
27440254,428888035,0,secondary,1033,301.5
27440254,271155321,0,secondary,1305,304.2
27440256,388608185,0,tertiary,1305,189.3
27440256,27440225,0,secondary,1305,251.6
27440477,713311573,0,residential,621,238.8
27440477,269446276,0,tertiary,621,245.5
27440477,269446333,0,secondary,621,197.7
