id,lat,lon,has_real_aq
127,41.9506391708,-87.6687696998,True
129,41.9652332098,-87.66916477465,True
133,41.7248497396,-87.66295064650001,True
134,41.73213704415,-87.66314152654999,True
135,41.7394343421,-87.6633415389,True
136,41.7467179887,-87.66352767309999,True
137,41.7576341212,-87.6637999151,True
138,41.768551590550004,-87.6640918313,True
139,41.7758293619,-87.66430424334999,True
145,41.81951243,-87.66541164604999,True
146,41.82682770855,-87.6656216959,True
147,41.8340936717,-87.6658383956,True
148,41.84500852235,-87.6660664154,True
149,41.855063467600004,-87.6662647024,True
151,41.8705320271,-87.66667480695,True
152,41.87875077005,-87.66691875475,True
153,41.887139251449995,-87.6671906322,True
154,41.893526582999996,-87.6674007079,True
3,41.7934651516,-87.69867736155001,True
4,41.7936464891,-87.68892122875,True
5,41.7937592431,-87.6791725636,True
6,41.79383313375,-87.66944260615,True
7,41.79396091535,-87.65972946785,True
17,41.7930966084,-87.74724482905,True
31,41.7895695122,-87.72291133190001,True
32,41.797759943900004,-87.72315147489999,True
33,41.8050995591,-87.72334847105,True
34,41.8115385849,-87.72357551019999,True
35,41.81909214775,-87.72380967915001,True
36,41.82993553505,-87.7240828697,True
37,41.84056774085,-87.72430336885,True
38,41.847899888149996,-87.72450698615,True
39,41.855206471100004,-87.72470799745,True
40,41.862519255449996,-87.7249138237,True
42,41.87860592575,-87.7254406916,True
43,41.883701161299996,-87.72558893465,True
48,41.91352545185,-87.7262956148,True
49,41.92082408515,-87.72651471239999,True
50,41.92813618865,-87.7267245093,True
51,41.9364781174,-87.7269733194,True
54,41.96392708255,-87.72776532235,True
55,41.9718861866,-87.72798111385,True
56,41.97918079995,-87.72818364445001,True
57,41.985741289749996,-87.7283177717,True
159,41.928778624749995,-87.66845364490001,True
160,41.9360510844,-87.66871159635,True
161,41.9433443712,-87.66894367805,True
162,41.95064129795,-87.66913729145,True
169,41.7932106832,-87.73747286365,True
170,41.793297395050004,-87.7280599511,True
171,41.793378283500004,-87.71838107745,True
172,41.793533040300005,-87.70857862049999,True
177,41.79423532705,-87.6597265946,True
178,41.794374071,-87.65001584769999,True
179,41.7945554579,-87.63814210605,True
180,41.79472612515,-87.6284124277,True
181,41.7948592034,-87.62083954095,True
185,41.7349838007,-87.7070466001,True
186,41.90968392085,-87.7312981975,True
188,41.9099175362,-87.7118319041,True
189,41.91002913115,-87.7019990159,True
190,41.91013190125,-87.69212915290001,True
191,41.910259602349996,-87.6824047677,True
192,41.910414313000004,-87.6726402499,True
193,41.9105310091,-87.66492776965,True
200,41.90957720685,-87.76075866885,True
201,41.9097007325,-87.75095378815,True
202,41.909827876899996,-87.7411875118,True
203,41.909958330799995,-87.73129561900001,True
204,41.91007762605,-87.72151438290001,True
208,41.9105340097,-87.6824019798,True
209,41.91068871985,-87.67263742015001,True
210,41.91080541555,-87.6649249068,True
67,41.7568383041,-87.72238435395,True
68,41.7677400275,-87.7227152856,True
69,41.7750190168,-87.72291796420001,True
70,41.782300328800005,-87.7231107275,True
71,41.78957340675,-87.72331021709999,True
72,41.7977638376,-87.72354171115,True
73,41.805103452,-87.72375560615001,True
74,41.8115424769,-87.72397445215,True
75,41.8190960388,-87.7242064153,True
76,41.82993942535,-87.7244508437,True
77,41.84057163035,-87.72470235515001,True
79,41.8552103591,-87.7251073983,True
80,41.8625231427,-87.7253133971,True
81,41.8707271569,-87.72557527935001,True
82,41.878609810849994,-87.72584350525,True
85,41.899022463799994,-87.72644266270001,True
86,41.904416652500004,-87.72660631355001,True
87,41.90802427035,-87.72662022965,True
88,41.913529334100005,-87.7266959052,True
89,41.92082796655,-87.7269149076,True
90,41.92814006925,-87.7271248454,True
91,41.9364819971,-87.72736395180002,True
92,41.947410708999996,-87.72768327405001,True
98,41.724847602,-87.6625843452,True
99,41.73213490685,-87.66277518385,True
102,41.7576319849,-87.66343342735,True
103,41.76854945475,-87.66372528135,True
104,41.775827226450005,-87.66393765195,True
105,41.783104637250005,-87.6641243133,True
106,41.79038453305,-87.6643048171,True
107,41.797670221450005,-87.66449578835,True
112,41.834091538799996,-87.6654714718,True
113,41.8450063897,-87.66569942925,True
114,41.85506133515,-87.66589765875,True
117,41.87874863875,-87.66655157560001,True
118,41.887137120649996,-87.666823405,True
119,41.89352445265,-87.6670334441,True
120,41.900044351199995,-87.667218667,True
121,41.90732267605,-87.6674186985,True
122,41.914587463800004,-87.6677086039,True
126,41.943342243749996,-87.66857612835,True
419,41.7509915533,-87.6293592354,True
331,41.72458345925,-87.6819942676,True
332,41.73187744165,-87.68222367245,True
335,41.754666434499995,-87.68279158280001,True
337,41.7683388771,-87.6831601845,True
340,41.7902016155,-87.68375284965,True
341,41.797510345700005,-87.68394954345,True
342,41.80478492985,-87.68414131565,True
343,41.81205980345,-87.68434346895,True
344,41.8193449434,-87.6845691554,True
345,41.82446593945,-87.6847062214,True
346,41.8325049325,-87.6848792144,True
350,41.871347047049994,-87.6859703877,True
351,41.879538877399995,-87.68619343994999,True
352,41.88682109695,-87.68640592375,True
353,41.893194618150005,-87.68658492189999,True
354,41.899378652349995,-87.68675103084999,True
361,41.94309477975,-87.6880274957,True
362,41.95037074225,-87.68817818285001,True
363,41.957661762,-87.68839079895,True
364,41.96496285425,-87.68861094985,True
365,41.972252201299995,-87.68884478105,True
