id,hour,dayofweek,spd_lag1_avg,no2_lag1_avg,pm25_lag1_avg
1,0,1,44.25685,45.815,15.315
1,0,2,37.01482,24.066666666666666,10.280000000000001
1,0,3,41.30639333333333,12.780000000000001,0.9866666666666667
1,0,4,45.86619,23.7975,9.1825
1,0,5,42.486576,30.285000000000004,11.46
1,0,6,43.45218,11.456666666666665,9.583333333333334
1,1,0,45.06152,14.835,6.1325
1,1,1,34.869033333333334,30.576666666666664,17.053333333333335
1,1,2,41.03817,24.175,12.690000000000001
1,1,3,40.2335,12.77,1.09
1,1,4,43.45218,31.0,15.046666666666667
1,1,5,44.25685,31.686666666666667,18.936666666666664
1,1,6,40.76994666666667,10.622499999999999,3.0875000000000004
1,2,0,44.25685,15.04,5.23
1,2,1,45.86619,28.4525,20.5975
1,2,2,39.026495,20.376666666666665,15.123333333333333
1,2,3,45.86619,14.336666666666666,0.7333333333333334
1,2,4,39.911632,28.634999999999998,12.094999999999999
1,2,5,40.2335,33.379999999999995,27.1975
1,2,6,44.25685,10.616666666666667,3.7433333333333336
1,3,1,39.428830000000005,27.78333333333333,26.973333333333333
1,3,2,40.2335,24.94333333333333,12.783333333333333
1,3,3,40.2335,15.5375,1.115
1,4,0,40.2335,14.516666666666666,5.33
1,4,5,33.79614,32.745,35.557500000000005
1,5,0,40.2335,14.464999999999998,5.8475
1,5,1,41.03817,24.046666666666667,23.959999999999997
1,5,2,40.635835,25.833333333333332,17.536666666666665
1,5,3,43.854515,18.12,2.21
1,5,4,41.30639333333333,13.040000000000001,8.0
1,5,5,46.67086,26.903333333333332,28.959999999999997
1,5,6,41.842839999999995,17.246666666666666,11.813333333333333
1,6,0,40.555368,11.166666666666666,4.933333333333334
1,6,1,38.302292,22.677500000000002,9.7625
1,6,2,43.18395666666667,23.255,14.362500000000002
1,6,3,36.47837333333333,23.22,4.05
1,6,4,37.55126666666667,11.7475,6.7975
1,6,5,45.86619,8.4675,2.6425
1,6,6,41.30639333333334,17.2125,6.1525
1,7,0,41.574616666666664,11.5475,4.952500000000001
1,7,1,40.2335,18.88,4.5
1,7,2,39.267896,18.836666666666666,12.126666666666665
1,7,3,41.84284,24.834999999999997,12.084999999999999
1,7,4,40.76994666666667,14.87,5.716666666666666
1,7,5,43.45218,6.956666666666666,1.0666666666666667
1,7,6,43.45218,15.63,3.3366666666666664
1,8,0,41.199104,11.723333333333334,6.153333333333333
1,8,1,39.96527666666667,18.986666666666668,1.9366666666666668
1,8,2,45.32974333333333,18.927500000000002,7.0025
1,8,3,45.463855,23.83,13.873333333333333
1,8,4,38.08771333333333,16.5925,7.0575
1,8,5,42.808443999999994,8.9825,1.46
1,8,6,43.72040333333334,17.455,4.5649999999999995
1,9,0,39.42883,16.55,5.91
1,9,1,37.55126666666667,20.335,0.7799999999999999
1,9,2,42.808443999999994,17.933333333333334,6.746666666666667
1,9,3,41.84284,24.087499999999995,12.1925
1,9,4,41.30639333333333,18.813333333333333,7.716666666666666
1,9,5,45.06152,11.803333333333333,1.5633333333333332
1,9,6,43.18395666666667,20.506666666666664,14.293333333333331
1,10,0,44.417784,16.2,5.91
1,10,1,42.111063333333334,20.69666666666667,6.3999999999999995
1,10,2,47.073195,22.885,6.8525
1,10,3,42.245175,22.416666666666668,7.59
1,10,4,41.84284,18.863333333333333,8.246666666666666
1,10,5,40.50172333333333,12.31,1.9866666666666666
1,10,6,42.647510000000004,23.1525,18.75
1,11,0,39.42883,19.33666666666667,6.846666666666667
1,11,1,44.52507333333333,22.4325,6.48
1,11,2,42.245175,25.85666666666667,10.950000000000001
1,11,3,39.589764,22.6325,6.8925
1,11,4,41.574616666666664,25.8625,14.660000000000002
1,11,5,44.095916,14.342500000000001,2.1525
1,11,6,40.2335,19.563333333333333,12.643333333333333
1,12,0,47.47553,20.405,7.9725
1,12,1,44.095916,20.453333333333333,2.4466666666666668
1,12,2,39.026495,25.585,12.25
1,12,3,41.30639333333333,21.133333333333333,12.563333333333333
1,12,4,37.81949,25.820000000000004,15.410000000000002
1,12,5,43.774048,17.319999999999997,3.3699999999999997
1,12,6,43.130312,17.865000000000002,13.865
1,13,0,37.980424,17.62,9.280000000000001
1,13,1,42.486576,16.669999999999998,12.855
1,13,2,40.23350000000001,23.796666666666667,24.766666666666666
1,13,3,40.2335,18.9175,6.922499999999999
1,13,4,44.417784,19.18,8.346666666666666
1,13,5,42.379286666666665,13.63,2.1075
1,13,6,46.992728,16.186666666666667,15.0
1,14,0,40.2335,11.0375,5.78
1,14,1,40.76994666666667,20.203333333333333,12.013333333333334
1,14,2,41.84284,12.6075,9.0575
1,14,3,36.21015,14.696666666666667,4.663333333333333
1,14,4,38.08771333333333,21.429999999999996,9.135
1,14,5,42.111063333333334,7.6499999999999995,1.5166666666666668
1,14,6,43.45218,9.66,12.655
1,15,0,35.40548,7.983333333333333,6.06
1,15,1,30.899328000000004,20.2175,7.7299999999999995
1,15,2,35.40548,5.916666666666667,0.7833333333333333
1,15,3,32.72324666666667,10.273333333333333,2.513333333333333
1,15,4,25.427572,12.986666666666668,8.926666666666668
1,15,5,41.520972,6.24,1.305
1,15,6,46.67086,10.016666666666666,12.589999999999998
1,16,0,38.08771333333333,10.485,7.0299999999999985
1,16,1,40.877235999999996,16.39,1.86
1,16,2,39.96527666666667,8.085,1.065
1,16,3,37.01482,15.4275,3.4324999999999997
1,16,4,38.08771333333333,11.87,4.42
1,16,5,39.697053333333336,7.566666666666666,1.5899999999999999
1,16,6,42.111063333333334,8.4275,6.2425
1,17,0,38.62416,9.25,12.219999999999999
1,17,1,39.96527666666667,15.2025,2.935
1,17,2,37.81949,7.079999999999999,1.0266666666666666
1,17,3,42.164708000000005,10.75,7.673333333333334
1,17,4,42.164708000000005,10.37,4.7299999999999995
1,17,5,39.267896,8.0925,2.5475
1,17,6,41.03817,7.883333333333333,4.756666666666667
1,18,0,37.28304333333333,6.3,10.585
1,18,1,38.946028,16.006666666666664,3.7433333333333336
1,18,2,39.589763999999995,5.4275,0.865
1,18,3,42.111063333333334,7.447500000000001,3.4599999999999995
1,18,4,37.28304333333333,13.082500000000001,4.1775
1,18,5,41.52097199999999,8.790000000000001,6.159999999999999
1,18,6,42.486576,4.7524999999999995,3.0775
1,19,0,38.08771333333333,5.53,8.473333333333334
1,19,1,36.74659666666667,12.207500000000001,1.6900000000000002
1,19,2,36.692952000000005,6.363333333333333,0.7066666666666667
1,19,3,40.555368,6.826666666666666,4.833333333333333
1,19,4,42.808443999999994,21.47,6.243333333333333
1,19,5,37.980424,11.0,2.27
1,19,6,37.81949,9.1,5.796666666666667
1,20,0,40.2335,10.7125,6.7975
1,20,1,38.35593666666667,7.013333333333333,2.2600000000000002
1,20,2,44.417784,6.842499999999999,0.33499999999999996
1,20,3,42.486576,7.7,3.75
1,20,4,41.84284,16.925,5.535
1,20,5,40.23350000000001,10.836666666666666,2.27
1,20,6,42.111063333333334,6.822500000000001,4.3
1,21,0,41.199104,15.086666666666668,7.7299999999999995
1,21,1,39.42883,6.3175,1.1925
